"Journal.Name","Journal.Publisher","Publisher.Email"
"population and development review","Blackwell Publishing Ltd",NA
"population and development review","Population Council",NA
"population and development review",NA,NA
"population, space and place","John Wiley and Sons","Ltdvgorayska@wiley.com, Ltdcs-journals@wiley.co.uk"
"population, space and place","John Wiley and Sons Ltd",NA
"population, space and place","John Wiley and Sons LtdSouthern GateChichester, West SussexPO19","8SQvgorayska@wiley.com"
"population, space and place","John Wiley and Sons LtdSouthern GateChichester, West SussexPO19 8SQ",NA
"population, space and place",NA,NA
"race and class","SAGE Publications","Ltdinfo@sagepub.co.uk"
"race and class","SAGE Publications Inc.",NA
"race and class","SAGE Publications Ltd",NA
"race and class",NA,NA
"race ethnicity and education","Carfax Publishing Company",NA
"race ethnicity and education",NA,"Routledgeinfo@tandf.co.uk"
"refugee survey quarterly","Oxford University","Pressjnls.cust.serv@oupjournals.org, Pressjnl.info@oup.co.uk"
"refugee survey quarterly","Oxford University Press",NA
"refugee survey quarterly",NA,NA
"revue européenne des migrations internationales",NA,NA
"studi emigrazione","Centro Studi Emigrazione",NA
"studi emigrazione",NA,NA
